,state,census region,year,date,shipments
0,Alabama,East South Central,1994,1994-01-01,210152.0
1,Alabama,East South Central,1994,1994-02-01,234030.0
2,Alabama,East South Central,1994,1994-03-01,253624.0
3,Alabama,East South Central,1994,1994-04-01,231561.0
4,Alabama,East South Central,1994,1994-05-01,249728.0
5,Alabama,East South Central,1994,1994-06-01,306991.0
6,Alabama,East South Central,1994,1994-07-01,243752.0
7,Alabama,East South Central,1994,1994-08-01,245305.0
8,Alabama,East South Central,1994,1994-09-01,234030.0
9,Alabama,East South Central,1994,1994-10-01,215078.0
10,Alabama,East South Central,1994,1994-11-01,224149.0
11,Alabama,East South Central,1994,1994-12-01,198890.0
12,Alabama,East South Central,1995,1995-01-01,212299.0
13,Alabama,East South Central,1995,1995-02-01,210350.0
14,Alabama,East South Central,1995,1995-03-01,249426.0
15,Alabama,East South Central,1995,1995-04-01,232269.0
16,Alabama,East South Central,1995,1995-05-01,280824.0
17,Alabama,East South Central,1995,1995-06-01,283476.0
18,Alabama,East South Central,1995,1995-07-01,249280.0
19,Alabama,East South Central,1995,1995-08-01,265843.0
20,Alabama,East South Central,1995,1995-09-01,237201.0
21,Alabama,East South Central,1995,1995-10-01,221122.0
22,Alabama,East South Central,1995,1995-11-01,198172.0
23,Alabama,East South Central,1995,1995-12-01,180177.0
24,Alabama,East South Central,1996,1996-01-01,224432.0
25,Alabama,East South Central,1996,1996-02-01,212888.0
26,Alabama,East South Central,1996,1996-03-01,248499.0
27,Alabama,East South Central,1996,1996-04-01,270214.0
28,Alabama,East South Central,1996,1996-05-01,262490.0
29,Alabama,East South Central,1996,1996-06-01,263992.0
30,Alabama,East South Central,1996,1996-07-01,266540.0
31,Alabama,East South Central,1996,1996-08-01,252718.0
32,Alabama,East South Central,1996,1996-09-01,216903.0
33,Alabama,East South Central,1996,1996-10-01,248908.0
34,Alabama,East South Central,1996,1996-11-01,209834.0
35,Alabama,East South Central,1996,1996-12-01,210780.0
36,Alabama,East South Central,1997,1997-01-01,207508.0
37,Alabama,East South Central,1997,1997-02-01,217881.0
38,Alabama,East South Central,1997,1997-03-01,264112.0
39,Alabama,East South Central,1997,1997-04-01,270924.0
