Year,Month,Load Factor,Airport Name
2002,10,71.98,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2002,11,69.39,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2002,12,74.49,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,1,68.01,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,2,70.27,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,3,73.9,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,4,72.83,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,5,74.5,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,6,81.53,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,7,84.69,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,8,81.04,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,9,69.67,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,10,75.32,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,11,73.01,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,12,75.03,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,1,69.91,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,2,70.3,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,3,77.75,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,4,77.44,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,5,74.1,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,6,83.35,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,7,85.34,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,8,79.85,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,9,70.24,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,10,76.44,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,11,74.91,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,12,75.34,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,1,74.59,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,2,71.63,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,3,80.81,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,4,77.81,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,5,76.05,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,6,83.32,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,7,85.82,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,8,80.72,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,9,74.45,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,10,75.14,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,11,75.71,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,12,76.71,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,1,75.34,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,2,75.07,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,3,82.23,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,4,80.59,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,5,77.29,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,6,85.31,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,7,87.79,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,8,80.69,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,9,73.18,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,10,77.08,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,11,76.75,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,12,76.92,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,1,75.11,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,2,74.99,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,3,84.22,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,4,82.23,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,5,79.83,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,6,86.15,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,7,89.04,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,8,85.19,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,9,76.3,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,10,80.57,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,11,77.72,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,12,77.3,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,1,76.67,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,2,76.25,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,3,84.38,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,4,81.08,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,5,80.66,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,6,85.27,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,7,89.34,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,8,85.73,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,9,78.66,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,10,81.87,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,11,77.45,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2008,12,79.49,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
