Year,Month,Passengers,Airport Name
2002,10,3244238,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2002,11,3053981,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2002,12,3305042,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,1,2948460,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,2,2761404,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,3,3289503,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,4,3063537,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,5,3203580,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,6,3454176,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,7,3627939,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,8,3510017,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,9,2955997,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,10,3395590,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,11,3180366,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,12,3305935,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,1,3018442,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,2,3006318,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,3,3572014,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,4,3479871,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,5,3504755,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,6,3716024,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,7,3862219,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,8,3587488,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,9,2906252,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,10,3503785,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,11,3358841,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,12,3469408,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,1,3192432,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,2,3122086,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,3,3885625,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,4,3656775,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,5,3778024,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,6,3867903,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,7,3990666,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,8,3711247,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,9,3158759,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,10,3339430,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,11,3261696,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,12,3364993,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,1,3150201,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,2,2963066,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,3,3713310,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,4,3448297,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,5,3479079,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,6,3772797,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,7,3897916,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,8,3593936,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,9,3059958,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,10,3479671,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,11,3401464,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,12,3365022,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,1,3108475,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,2,2960671,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,3,3757565,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,4,3577794,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,5,3662593,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,6,3997443,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
