Year,Month,Revenue Passenger Miles,Airport Name
2002,10,2885024,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2002,11,2633227,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2002,12,2864583,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,1,2639321,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,2,2353224,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,3,2818511,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,4,2636442,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,5,2724985,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,6,3135853,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,7,3369400,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,8,3328696,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,9,2735064,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,10,3044340,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,11,2847321,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2003,12,3021709,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,1,2806363,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,2,2636540,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,3,3202791,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,4,3167959,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,5,3160121,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,6,3515384,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,7,3742152,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,8,3508458,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,9,2844141,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,10,3225799,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,11,3027850,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2004,12,3216375,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,1,3084859,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,2,2874489,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,3,3650298,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,4,3450308,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,5,3555241,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,6,3820053,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,7,4029715,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,8,3811652,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,9,3200873,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,10,3262766,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,11,3142698,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2005,12,3303702,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,1,3177847,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,2,2833338,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,3,3638186,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,4,3480159,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,5,3448095,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,6,3967930,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,7,4259828,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,8,3891330,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,9,3243001,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,10,3495199,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,11,3264510,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2006,12,3327245,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,1,3190847,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,2,2897976,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,3,3741161,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,4,3545212,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2007,5,3631132,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
