Date,Airport,Airport Code,Delay Minutes,Airport Delay %
January 2000,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,48.54,12.2
February 2000,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,54.19,11.69
March 2000,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,47.45,13.69
April 2000,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,54.02,13.87
May 2000,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,58.99,13.26
June 2000,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,52.9,18.53
July 2000,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,64.7,14.93
August 2000,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,46.97,11.13
September 2000,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,48.28,12.83
October 2000,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,43.11,12.12
November 2000,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,43.3,19.69
December 2000,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,49.62,25.51
January 2001,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,46.21,12.94
February 2001,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,47.38,14.49
March 2001,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,43.62,16.83
April 2001,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,52.59,10.17
May 2001,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,47.76,11.48
June 2001,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,51.74,17.77
July 2001,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,52.77,12.89
August 2001,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,57.41,14.72
September 2001,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,55.39,7.62
October 2001,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,44.39,9.43
November 2001,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,48.59,9.47
December 2001,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,37.84,13.32
January 2002,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,40.95,10.01
February 2002,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,39.96,8.52
March 2002,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,41.05,14.95
April 2002,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,46.05,10.06
May 2002,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,47.64,13.4
June 2002,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,50.45,16.27
July 2002,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,51.58,17.47
August 2002,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,50.65,13.42
September 2002,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,52.24,8.67
October 2002,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,44.95,14.44
November 2002,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,37.78,8.46
December 2002,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,52.6,14.78
January 2003,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,53.39,8.22
February 2003,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,45.26,12.22
March 2003,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,54.02,10.92
April 2003,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,52.61,8.24
May 2003,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,55.11,10.71
June 2003,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,47.22,12.73
July 2003,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,55.92,14.64
August 2003,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,61.13,11.41
September 2003,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,54.82,9.89
October 2003,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,46.79,10.2
November 2003,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,52.0,13.45
December 2003,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,51.15,14.04
January 2004,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,49.91,13.14
February 2004,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,47.43,17.69
March 2004,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,50.29,13.88
April 2004,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,48.65,14.1
May 2004,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,55.09,19.32
June 2004,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,58.67,22.04
July 2004,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,55.38,17.97
August 2004,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,55.92,14.48
September 2004,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,45.65,8.17
October 2004,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,47.75,13.92
November 2004,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,54.25,14.68
December 2004,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,55.77,18.52
January 2005,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,59.97,15.9
February 2005,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,46.66,13.51
March 2005,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,53.62,14.83
April 2005,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,43.18,11.97
May 2005,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,52.07,9.83
June 2005,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,51.92,14.31
July 2005,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,62.83,22.11
August 2005,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,51.68,14.92
September 2005,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,48.2,10.13
October 2005,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,49.14,12.97
November 2005,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,52.31,16.61
December 2005,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,53.31,21.97
January 2006,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,56.71,16.39
February 2006,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,54.63,17.87
March 2006,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,47.57,19.84
April 2006,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,58.6,17.13
May 2006,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,49.73,20.44
June 2006,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,58.16,22.06
July 2006,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,58.87,22.72
August 2006,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,56.99,17.81
September 2006,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,59.36,17.01
October 2006,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,64.95,20.82
November 2006,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,64.21,15.0
December 2006,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,60.06,20.49
January 2007,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,58.11,17.59
February 2007,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,69.29,18.58
March 2007,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,60.0,16.35
April 2007,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,63.73,16.21
May 2007,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,57.51,16.0
June 2007,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,62.55,24.83
July 2007,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,68.97,23.2
August 2007,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,60.97,19.0
September 2007,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,56.55,11.72
October 2007,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,47.4,13.27
November 2007,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,58.14,13.36
December 2007,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,56.38,22.92
January 2008,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,59.59,16.95
February 2008,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,59.96,22.32
March 2008,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,60.99,23.0
April 2008,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,61.15,15.9
May 2008,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,56.39,15.28
June 2008,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,71.06,22.3
July 2008,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,60.53,20.27
August 2008,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,55.68,16.2
September 2008,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,59.72,9.02
October 2008,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,47.78,11.82
November 2008,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,51.83,11.34
December 2008,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,64.7,25.6
January 2009,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,66.74,16.71
February 2009,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,63.61,11.52
March 2009,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,61.37,18.05
April 2009,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,62.88,16.66
May 2009,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,58.08,16.61
June 2009,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,64.71,20.54
July 2009,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,61.16,19.67
August 2009,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,55.97,15.28
September 2009,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,65.19,13.34
October 2009,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,55.85,21.13
November 2009,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,48.87,10.63
December 2009,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,63.66,21.6
January 2010,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,55.43,16.47
February 2010,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,62.45,16.12
March 2010,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,64.52,19.14
April 2010,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,60.41,12.85
May 2010,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,65.05,17.19
June 2010,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,62.71,19.95
July 2010,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,62.56,20.99
August 2010,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,59.49,15.72
September 2010,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,49.0,12.21
October 2010,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,52.68,13.42
November 2010,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,47.43,15.08
December 2010,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,53.99,21.75
January 2011,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,54.1,16.3
February 2011,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,59.48,17.32
March 2011,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,57.7,16.38
April 2011,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,60.25,19.7
May 2011,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,60.46,15.9
June 2011,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,62.25,18.0
July 2011,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,63.11,18.44
August 2011,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,54.14,13.14
September 2011,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,76.09,10.15
October 2011,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,54.58,9.95
November 2011,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,47.89,10.34
December 2011,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,64.56,13.33
January 2012,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,71.16,11.07
February 2012,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,60.05,12.15
March 2012,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,63.89,15.15
April 2012,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,66.28,11.91
May 2012,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,60.51,14.21
June 2012,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,59.86,17.12
July 2012,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,69.57,21.55
August 2012,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,62.65,15.7
September 2012,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,56.47,13.42
October 2012,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,51.07,13.22
November 2012,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,71.62,10.59
December 2012,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,61.91,18.02
January 2013,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,58.46,15.56
February 2013,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,58.29,14.17
March 2013,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,60.94,18.08
April 2013,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,62.79,19.83
May 2013,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,57.54,17.39
June 2013,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,73.92,25.34
July 2013,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,64.73,24.45
August 2013,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,59.22,17.58
September 2013,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,48.32,14.15
October 2013,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,42.6,15.29
