Date,Delay (minutes),Delay (%),Airport,Abbreviation
January 2000,48.54,12.2,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
February 2000,54.19,11.69,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
March 2000,47.45,13.69,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
April 2000,54.02,13.87,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
May 2000,58.99,13.26,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
June 2000,52.9,18.53,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
July 2000,64.7,14.93,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
August 2000,46.97,11.13,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
September 2000,48.28,12.83,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
October 2000,43.11,12.12,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
November 2000,43.3,19.69,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
December 2000,49.62,25.51,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
January 2001,46.21,12.94,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
February 2001,47.38,14.49,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
March 2001,43.62,16.83,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
April 2001,52.59,10.17,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
May 2001,47.76,11.48,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
June 2001,51.74,17.77,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
July 2001,52.77,12.89,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
August 2001,57.41,14.72,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
September 2001,55.39,7.62,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
October 2001,44.39,9.43,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
November 2001,48.59,9.47,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
December 2001,37.84,13.32,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
January 2002,40.95,10.01,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
February 2002,39.96,8.52,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
March 2002,41.05,14.95,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
April 2002,46.05,10.06,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
May 2002,47.64,13.4,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
June 2002,50.45,16.27,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
July 2002,51.58,17.47,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
August 2002,50.65,13.42,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
September 2002,52.24,8.67,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
October 2002,44.95,14.44,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
November 2002,37.78,8.46,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
December 2002,52.6,14.78,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
January 2003,53.39,8.22,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
February 2003,45.26,12.22,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
March 2003,54.02,10.92,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
April 2003,52.61,8.24,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
May 2003,55.11,10.71,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
June 2003,47.22,12.73,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
July 2003,55.92,14.64,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
August 2003,61.13,11.41,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
September 2003,54.82,9.89,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
October 2003,46.79,10.2,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
November 2003,52.0,13.45,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
December 2003,51.15,14.04,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
January 2004,49.91,13.14,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
February 2004,47.43,17.69,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
March 2004,50.29,13.88,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
April 2004,48.65,14.1,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
May 2004,55.09,19.32,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
June 2004,58.67,22.04,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
July 2004,55.38,17.97,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
August 2004,55.92,14.48,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
September 2004,45.65,8.17,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
October 2004,47.75,13.92,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
November 2004,54.25,14.68,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
December 2004,55.77,18.52,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
January 2005,59.97,15.9,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
February 2005,46.66,13.51,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
March 2005,53.62,14.83,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
April 2005,43.18,11.97,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
May 2005,52.07,9.83,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
June 2005,51.92,14.31,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
July 2005,62.83,22.11,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
August 2005,51.68,14.92,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
September 2005,48.2,10.13,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
October 2005,49.14,12.97,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
November 2005,52.31,16.61,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
December 2005,53.31,21.97,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
January 2006,56.71,16.39,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
February 2006,54.63,17.87,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
March 2006,47.57,19.84,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
April 2006,58.6,17.13,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
May 2006,49.73,20.44,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
June 2006,58.16,22.06,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
July 2006,58.87,22.72,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
August 2006,56.99,17.81,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
September 2006,59.36,17.01,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
October 2006,64.95,20.82,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
November 2006,64.21,15.0,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
December 2006,60.06,20.49,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
January 2007,58.11,17.59,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
February 2007,69.29,18.58,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
March 2007,60.0,16.35,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
April 2007,63.73,16.21,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
May 2007,57.51,16.0,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
June 2007,62.55,24.83,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM
