airport,month_year,freight_mail_value
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2006,"3,266k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2007,"3,356k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2007,"3,409k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2007,"3,461k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2007,"3,465k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2007,"3,497k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2007,"3,490k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2007,"3,558k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2007,"3,583k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2007,"3,564k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2007,"3,603k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2007,"3,596k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2007,"3,590k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2008,"3,529k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2008,"3,543k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",March 2008,"3,292k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",April 2008,"3,282k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",May 2008,"3,217k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",June 2008,"3,045k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",July 2008,"2,801k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",August 2008,"2,544k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",September 2008,"2,337k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",October 2008,"2,062k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",November 2008,"1,742k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",December 2008,"1,369k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",January 2009,"1,196k"
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",February 2009,"1,007k"
