Airport Code,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter: Q2-2024),Year,Quarter
LAX,Los Angeles,CA,344.04,635.57,2000,Q1
ORD,Chicago-O'Hare,IL,409.28,756.09,2000,Q1
DEN,Denver,CO,443.67,819.62,2000,Q1
ATL,Atlanta,GA,352.06,650.39,2000,Q1
EWR,Newark,NJ,450.67,832.57,2000,Q1
BOS,Boston,MA,405.10,748.37,2000,Q1
SEA,Seattle,WA,324.24,598.99,2000,Q1
DFW,Dallas-DFW,TX,441.69,815.96,2000,Q1
MCO,Orlando,FL,296.76,548.24,2000,Q1
SFO,San Francisco,CA,453.19,837.20,2000,Q1
PHX,Phoenix,AZ,262.07,484.14,2000,Q1
LGA,New York-La Guardia,NY,380.82,703.52,2000,Q1
JFK,New York-JFK,NY,492.44,909.73,2000,Q1
LAS,Las Vegas,NV,215.51,398.12,2000,Q1
MSP,Minneapolis,MN,393.63,727.19,2000,Q1
IAH,Houston-Intercontinental,TX,410.82,758.94,2000,Q1
PHL,Philadelphia,PA,441.97,816.49,2000,Q1
FLL,Fort Lauderdale,FL,275.77,509.46,2000,Q1
SAN,San Diego,CA,286.26,528.83,2000,Q1
DTW,Detroit,MI,322.21,595.25,2000,Q1
DCA,Washington-Reagan National,DC,368.51,680.78,2000,Q1
TPA,Tampa,FL,298.49,551.43,2000,Q1
BWI,Baltimore,MD,287.02,530.23,2000,Q1
AUS,Austin,TX,337.95,624.32,2000,Q1
MIA,Miami,FL,372.93,688.94,2000,Q1
PDX,Portland,OR,292.50,540.36,2000,Q1
BNA,Nashville,TN,297.35,549.32,2000,Q1
CLT,Charlotte,NC,504.74,932.44,2000,Q1
SLC,Salt Lake City,UT,297.78,550.11,2000,Q1
RDU,Raleigh/Durham,NC,312.10,576.57,2000,Q1
SMF,Sacramento,CA,252.86,467.13,2000,Q1
HNL,Honolulu,HI,124.44,229.89,2000,Q1
MDW,Chicago-Midway,IL,221.57,409.33,2000,Q1
STL,St. Louis,MO,339.05,626.35,2000,Q1
SJC,San Jose,CA,288.96,533.83,2000,Q1
IAD,Washington-Dulles,DC,432.16,798.37,2000,Q1
MCI,Kansas City,MO,276.26,510.35,2000,Q1
DAL,Dallas-Love Field,TX,164.18,303.31,2000,Q1
IND,Indianapolis,IN,304.21,561.98,2000,Q1
CLE,Cleveland,OH,344.07,635.63,2000,Q1
SNA,Santa Ana,CA,359.46,664.05,2000,Q1
OAK,Oakland,CA,222.51,411.07,2000,Q1
SAT,San Antonio,TX,291.92,539.28,2000,Q1
MSY,New Orleans,LA,278.67,514.80,2000,Q1
PIT,Pittsburgh,PA,443.39,819.11,2000,Q1
SJU,San Juan,PR,339.42,627.03,2000,Q1
CVG,Cincinnati,OH,458.74,847.46,2000,Q1
CMH,Columbus,OH,309.14,571.09,2000,Q1
HOU,Houston-Hobby,TX,212.17,391.97,2000,Q1
RSW,Fort Myers,FL,337.99,624.39,2000,Q1
BDL,Hartford,CT,330.93,611.36,2000,Q1
PBI,West Palm Beach/Palm Beach,FL,361.15,667.18,2000,Q1
JAX,Jacksonville,FL,300.56,555.25,2000,Q1
ONT,Ontario,CA,242.98,448.87,2000,Q1
MKE,Milwaukee,WI,347.78,642.48,2000,Q1
BUR,Burbank,CA,178.04,328.91,2000,Q1
RIC,Richmond,VA,495.32,915.04,2000,Q1
CHS,Charleston,SC,482.19,890.78,2000,Q1
OMA,Omaha,NE,298.62,551.67,2000,Q1
BUF,Buffalo,NY,320.88,592.79,2000,Q1
MEM,Memphis,TN,385.14,711.50,2000,Q1
BOI,Boise,ID,263.43,486.66,2000,Q1
ABQ,Albuquerque,NM,262.65,485.21,2000,Q1
ORF,Norfolk,VA,392.79,725.62,2000,Q1
SDF,Louisville,KY,293.44,542.09,2000,Q1
ELP,El Paso,TX,252.27,466.03,2000,Q1
OKC,Oklahoma City,OK,295.60,546.08,2000,Q1
GRR,Grand Rapids,MI,409.00,755.58,2000,Q1
OGG,Kahului,HI,66.67,123.16,2000,Q1
ANC,Anchorage,AK,422.45,780.43,2000,Q1
GEG,Spokane,WA,238.96,441.45,2000,Q1
PVD,Providence,RI,301.72,557.39,2000,Q1
RNO,Reno,NV,208.89,385.90,2000,Q1
TUS,Tucson,AZ,285.30,527.06,2000,Q1
LGB,Long Beach,CA,344.28,636.02,2000,Q1
DSM,Des Moines,IA,408.05,753.82,2000,Q1
SYR,Syracuse,NY,396.73,732.91,2000,Q1
SRQ,Sarasota/Bradenton,FL,358.69,662.63,2000,Q1
TUL,Tulsa,OK,292.27,539.94,2000,Q1
ALB,Albany,NY,416.44,769.32,2000,Q1
BHM,Birmingham,AL,314.39,580.80,2000,Q1
SAV,Savannah,GA,346.47,640.06,2000,Q1
ROC,Rochester,NY,406.80,751.52,2000,Q1
HPN,White Plains,NY,607.71,1122.66,2000,Q1
KOA,Kona,HI,61.20,113.06,2000,Q1
TYS,Knoxville,TN,366.77,677.57,2000,Q1
GSP,Greenville-Spartanburg,SC,517.24,955.54,2000,Q1
PNS,Pensacola,FL,406.96,751.81,2000,Q1
LIH,Lihue,HI,50.73,93.71,2000,Q1
COS,Colorado Springs,CO,415.78,768.10,2000,Q1
MYR,Myrtle Beach,SC,286.70,529.64,2000,Q1
FAT,Fresno,CA,435.95,805.36,2000,Q1
LIT,Little Rock,AR,292.49,540.34,2000,Q1
PWM,Portland,ME,439.65,812.19,2000,Q1
MSN,Madison,WI,405.71,749.49,2000,Q1
AVL,Asheville,NC,446.77,825.36,2000,Q1
BZN,Bozeman,MT,466.25,861.35,2000,Q1
PSP,Palm Springs,CA,417.37,771.03,2000,Q1
XNA,Fayetteville,AR,425.47,786.00,2000,Q1
PIE,St. Petersburg,FL,190.95,352.76,2000,Q1
EUG,Eugene,OR,367.69,679.26,2000,Q1
ICT,Wichita,KS,427.49,789.73,2000,Q1
GSO,Greensboro/High Point,NC,396.37,732.24,2000,Q1
CID,Cedar Rapids/Iowa City,IA,435.51,804.55,2000,Q1
MDT,Harrisburg,PA,447.67,827.01,2000,Q1
HVN,New Haven,CT,389.38,719.32,2000,Q1
HSV,Huntsville,AL,468.97,866.36,2000,Q1
FSD,Sioux Falls,SD,386.87,714.70,2000,Q1
ISP,Islip,NY,219.59,405.67,2000,Q1
MHT,Manchester,NH,309.31,571.41,2000,Q1
BTV,Burlington,VT,444.81,821.73,2000,Q1
MAF,Midland/Odessa,TX,213.83,395.03,2000,Q1
VPS,Valparaiso,FL,360.59,666.15,2000,Q1
LEX,Lexington,KY,405.59,749.27,2000,Q1
JAN,Jackson/Vicksburg,MS,327.02,604.13,2000,Q1
ITO,Hilo,HI,47.25,87.29,2000,Q1
MFE,Mission/McAllen/Edinburg,TX,320.90,592.83,2000,Q1
ILM,Wilmington,NC,405.72,749.52,2000,Q1
SGF,Springfield,MO,463.66,856.56,2000,Q1
SBA,Santa Barbara,CA,401.85,742.38,2000,Q1
DAY,Dayton,OH,356.05,657.76,2000,Q1
CAE,Columbia,SC,487.36,900.33,2000,Q1
ATW,Appleton,WI,471.61,871.23,2000,Q1
FAR,Fargo,ND,455.01,840.57,2000,Q1
RDM,Bend/Redmond,OR,360.72,666.38,2000,Q1
LBB,Lubbock,TX,220.58,407.50,2000,Q1
ABE,Allentown/Bethlehem/Easton,PA,446.66,825.15,2000,Q1
MFR,Medford,OR,375.83,694.30,2000,Q1
CHA,Chattanooga,TN,426.21,787.37,2000,Q1
FAI,Fairbanks,AK,373.09,689.24,2000,Q1
HRL,Harlingen/San Benito,TX,202.90,374.83,2000,Q1
PSC,Pasco/Kennewick/Richland,WA,416.92,770.20,2000,Q1
SBN,South Bend,IN,377.22,696.87,2000,Q1
ACY,Atlantic City,NJ,212.28,392.16,2000,Q1
BQN,Aguadilla,PR,228.03,421.25,2000,Q1
FWA,Fort Wayne,IN,406.63,751.20,2000,Q1
MSO,Missoula,MT,427.30,789.38,2000,Q1
CAK,Akron,OH,290.91,537.42,2000,Q1
BIL,Billings,MT,422.84,781.14,2000,Q1
TLH,Tallahassee,FL,414.61,765.94,2000,Q1
PIA,Peoria,IL,387.08,715.08,2000,Q1
STT,Charlotte Amalie,VI,304.93,563.32,2000,Q1
AMA,Amarillo,TX,235.40,434.87,2000,Q1
BLI,Bellingham,WA,314.78,581.51,2000,Q1
BTR,Baton Rouge,LA,358.15,661.63,2000,Q1
FNT,Flint,MI,301.17,556.37,2000,Q1
FCA,Kalispell,MT,392.73,725.51,2000,Q1
ROA,Roanoke,VA,484.88,895.75,2000,Q1
CRP,Corpus Christi,TX,278.42,514.34,2000,Q1
BGR,Bangor,ME,360.87,666.66,2000,Q1
STS,Santa Rosa,CA,472.69,873.24,2000,Q1
GRB,Green Bay,WI,410.88,759.05,2000,Q1
CHO,Charlottesville,VA,522.93,966.05,2000,Q1
SBP,San Luis Obispo,CA,415.85,768.23,2000,Q1
SHV,Shreveport,LA,412.60,762.23,2000,Q1
TVC,Traverse City,MI,397.56,734.44,2000,Q1
RAP,Rapid City,SD,426.24,787.43,2000,Q1
MLI,Moline,IL,350.23,647.01,2000,Q1
AGS,Augusta,GA,511.54,945.00,2000,Q1
DAB,Daytona Beach,FL,407.33,752.49,2000,Q1
JAC,Jackson,WY,551.65,1019.10,2000,Q1
BIS,Bismarck/Mandan,ND,465.08,859.17,2000,Q1
GNV,Gainesville,FL,462.86,855.07,2000,Q1
IDA,Idaho Falls,ID,453.85,838.43,2000,Q1
EYW,Key West,FL,336.65,621.93,2000,Q1
GPT,Gulfport/Biloxi,MS,244.86,452.35,2000,Q1
JNU,Juneau,AK,353.26,652.61,2000,Q1
MOB,Mobile,AL,489.80,904.85,2000,Q1
GJT,Grand Junction,CO,413.32,763.56,2000,Q1
LFT,Lafayette,LA,369.87,683.29,2000,Q1
MRY,Monterey,CA,472.45,872.79,2000,Q1
MLB,Melbourne,FL,421.25,778.21,2000,Q1
TRI,Bristol/Johnson City/Kingsport,TN,484.00,894.14,2000,Q1
BRO,Brownsville,TX,381.34,704.48,2000,Q1
AVP,Scranton/Wilkes-Barre,PA,447.17,826.09,2000,Q1
BFL,Bakersfield,CA,394.55,728.89,2000,Q1
CRW,Charleston/Dunbar,WV,431.63,797.38,2000,Q1
FAY,Fayetteville,NC,434.29,802.29,2000,Q1
BMI,Bloomington/Normal,IL,300.89,555.85,2000,Q1
GTF,Great Falls,MT,409.08,755.73,2000,Q1
ASE,Aspen,CO,544.77,1006.39,2000,Q1
DRO,Durango,CO,462.99,855.32,2000,Q1
PSE,Ponce,PR,224.14,414.08,2000,Q1
MGM,Montgomery,AL,410.31,758.00,2000,Q1
RFD,Rockford,IL,271.87,502.25,2000,Q1
EVV,Evansville,IN,409.81,757.08,2000,Q1
MTJ,Montrose/Delta,CO,410.41,758.18,2000,Q1
STX,Christiansted,VI,288.34,532.67,2000,Q1
MOT,Minot,ND,422.53,780.58,2000,Q1
LRD,Laredo,TX,340.36,628.78,2000,Q1
OAJ,Jacksonville/Camp Lejeune,NC,386.13,713.34,2000,Q1
ORH,Worcester,MA,320.45,591.99,2000,Q1
SCE,State College,PA,512.22,946.26,2000,Q1
DLH,Duluth,MN,475.36,878.17,2000,Q1
SGU,St. George,UT,461.96,853.42,2000,Q1
ACV,Arcata/Eureka,CA,309.60,571.95,2000,Q1
HDN,Hayden,CO,450.78,832.75,2000,Q1
LAN,Lansing,MI,346.80,640.68,2000,Q1
LNK,Lincoln,NE,346.12,639.41,2000,Q1
SAF,Santa Fe,NM,510.60,943.27,2000,Q1
HTS,Ashland,WV,453.65,838.06,2000,Q1
EGE,Eagle,CO,492.19,909.26,2000,Q1
GFK,Grand Forks,ND,423.64,782.62,2000,Q1
AZO,Kalamazoo,MI,435.72,804.93,2000,Q1
COU,Columbia,MO,436.29,805.99,2000,Q1
LBE,Latrobe,PA,596.61,1102.16,2000,Q1
ELM,Elmira/Corning,NY,472.47,872.83,2000,Q1
SWF,Newburgh/Poughkeepsie,NY,410.76,758.83,2000,Q1
MLU,Monroe,LA,437.41,808.07,2000,Q1
BET,Bethel,AK,340.63,629.28,2000,Q1
KTN,Ketchikan,AK,398.99,737.08,2000,Q1
MBS,Saginaw/Bay City/Midland,MI,384.39,710.10,2000,Q1
ACK,Nantucket,MA,352.59,651.36,2000,Q1
AEX,Alexandria,LA,385.17,711.56,2000,Q1
RDD,Redding,CA,341.84,631.52,2000,Q1
LCH,Lake Charles,LA,373.47,689.94,2000,Q1
CPR,Casper,WY,462.35,854.14,2000,Q1
HLN,Helena,MT,470.60,869.37,2000,Q1
TOL,Toledo,OH,374.79,692.37,2000,Q1
ABI,Abilene,TX,391.06,722.43,2000,Q1
CWA,Mosinee,WI,442.42,817.32,2000,Q1
LYH,Lynchburg,VA,586.35,1083.22,2000,Q1
GUM,Guam,TT,707.11,1306.29,2000,Q1
RST,Rochester,MN,519.27,959.28,2000,Q1
SUN,Sun Valley/Hailey/Ketchum,ID,477.34,881.83,2000,Q1
PHF,Newport News/Williamsburg,VA,250.90,463.50,2000,Q1
YUM,Yuma,AZ,330.42,610.41,2000,Q1
GRI,Grand Island,NE,334.29,617.56,2000,Q1
CMI,Champaign/Urbana,IL,385.11,711.44,2000,Q1
SIT,Sitka,AK,316.99,585.60,2000,Q1
PUW,Pullman,WA,283.04,522.89,2000,Q1
