,JAN2015,FEB2015,MAR2015,APR2015,MAY2015,JUN2015,JUL2015,AUG2015,SEP2015,OCT2015,NOV2015,DEC2015,JAN2016,FEB2016,MAR2016,APR2016,MAY2016,JUN2016,JUL2016,AUG2016,SEP2016,OCT2016,NOV2016,DEC2016,JAN2017,FEB2017,MAR2017,APR2017,MAY2017,JUN2017,JUL2017,AUG2017,SEP2017,OCT2017,NOV2017,DEC2017,JAN2018,FEB2018,MAR2018,APR2018,MAY2018,JUN2018,JUL2018,AUG2018,SEP2018,OCT2018,NOV2018,DEC2018,JAN2019,FEB2019,MAR2019,APR2019,MAY2019,JUN2019,JUL2019,AUG2019,SEP2019,OCT2019,NOV2019,DEC2019,JAN2020,FEB2020,MAR2020,APR2020,MAY2020,JUN2020,JUL2020,AUG2020,SEP2020,OCT2020,NOV2020,DEC2020,JAN2021,FEB2021,MAR2021,APR2021,MAY2021,JUN2021,JUL2021,AUG2021,SEP2021,OCT2021,NOV2021,DEC2021,JAN2022,FEB2022,MAR2022,APR2022,MAY2022,JUN2022,JUL2022,AUG2022,SEP2022,OCT2022,NOV2022,DEC2022,JAN2023,FEB2023,MAR2023,APR2023,MAY2023,JUN2023,JUL2023,AUG2023,SEP2023,OCT2023,NOV2023
Barbados,159763.0,150588.0,147752.0,115341.0,63856.0,64230.0,79211.0,64541.0,55608.0,77857.0,146197.0,172074.0,209319.0,164807.0,144938.0,98015.0,65669.0,63391.0,75154.0,65460.0,52365.0,58970.0,153004.0,210066.0,209963.0,184769.0,174565.0,146570.0,70579.0,67294.0,69287.0,72349.0,43582.0,66456.0,151793.0,226228.0,218362.0,182778.0,186307.0,120087.0,72517.0,66439.0,74605.0,73955.0,58741.0,65772.0,172526.0,222603.0,211262.0,182184.0,190245.0,138929.0,72116.0,69835.0,80055.0,76629.0,56797.0,52400.0,63311.0,67354.0,206584.0,178480.0,112515.0,139.0,377.0,494.0,2056.0,6102.0,4867.0,2389.0,6695.0,18195.0,3547.0,1880.0,1769.0,1901.0,3363.0,8460.0,13606.0,17581.0,17612.0,20449.0,49010.0,103105.0,95997.0,93529.0,115882.0,81723.0,33949.0,32763.0,39377.0,34329.0,31128.0,46435.0,116450.0,176037.0,192993.0,179238.0,188162.0,113562.0,47888.0,36670.0,46141.0,47430.0,33972.0,50170.0,149589.0
Cayman Islands,236659.0,178334.0,244720.0,211242.0,124336.0,127083.0,152990.0,129062.0,102038.0,121115.0,190743.0,283868.0,228991.0,211342.0,282531.0,179369.0,125256.0,156306.0,151171.0,136767.0,104950.0,100770.0,186039.0,233808.0,213399.0,225251.0,243900.0,164211.0,123865.0,129538.0,147155.0,127697.0,120132.0,137368.0,243694.0,270637.0,257615.0,260623.0,287867.0,190744.0,159119.0,158907.0,182010.0,160238.0,108928.0,162483.0,208169.0,247355.0,312476.0,242110.0,232263.0,201062.0,148491.0,152757.0,170043.0,154162.0,105085.0,137216.0,211836.0,266249.0,285759.0,258666.0,112063.0,128.0,215.0,189.0,239.0,240.0,278.0,478.0,742.0,962.0,870.0,568.0,647.0,616.0,709.0,887.0,978.0,677.0,682.0,1015.0,2022.0,7637.0,5864.0,12182.0,39926.0,70477.0,82562.0,115984.0,109916.0,107403.0,65846.0,101249.0,137363.0,178896.0,196073.0,186703.0,209652.0,146995.0,121732.0,116768.0,114475.0,96697.0,70697.0,77733.0,163047.0
Curaçao,116411.0,123624.0,111449.0,85022.0,72358.0,51219.0,63060.0,68376.0,69528.0,74067.0,110772.0,130686.0,112205.0,104387.0,113419.0,84412.0,56363.0,51496.0,57220.0,64163.0,48294.0,68043.0,92875.0,103136.0,107918.0,100130.0,108033.0,73394.0,76481.0,59941.0,65297.0,70916.0,57376.0,79079.0,114015.0,142424.0,168520.0,142030.0,136013.0,95894.0,69878.0,65367.0,82723.0,69615.0,75934.0,87010.0,122911.0,146927.0,166498.0,117027.0,119283.0,108133.0,77205.0,71014.0,86325.0,74907.0,72783.0,83403.0,132194.0,175338.0,170821.0,137759.0,67569.0,,,,8324.0,9281.0,10447.0,13644.0,13809.0,10135.0,6055.0,8390.0,10582.0,4013.0,9524.0,23313.0,42443.0,43262.0,37842.0,48499.0,79581.0,104850.0,76247.0,79755.0,101602.0,71402.0,65137.0,68187.0,78842.0,70000.0,67390.0,82793.0,131071.0,141421.0,156847.0,147207.0,154513.0,102214.0,85917.0,64682.0,67828.0,65260.0,73031.0,69620.0,139251.0
Las Americas,88197.0,91770.0,105571.0,95139.0,101010.0,116578.0,138641.0,115475.0,91986.0,104667.0,107612.0,154315.0,97829.0,104704.0,114834.0,100416.0,101392.0,123219.0,141945.0,120311.0,94232.0,100582.0,101045.0,156100.0,100521.0,100531.0,106347.0,118179.0,107390.0,126218.0,139617.0,116081.0,77862.0,100752.0,106182.0,148334.0,97832.0,99358.0,123690.0,103416.0,111755.0,126440.0,138469.0,115757.0,85559.0,98229.0,111289.0,162983.0,109606.0,115847.0,126949.0,123767.0,122849.0,135285.0,142037.0,124235.0,97150.0,111119.0,122918.0,170659.0,119531.0,121936.0,57002.0,128.0,344.0,394.0,60653.0,48571.0,48195.0,58597.0,71619.0,136126.0,67985.0,68604.0,112456.0,117060.0,143170.0,152309.0,179075.0,144299.0,114007.0,122660.0,126851.0,189779.0,113519.0,122528.0,134344.0,144534.0,136248.0,165523.0,185486.0,154370.0,113968.0,128531.0,137648.0,206655.0,141133.0,141746.0,157180.0,154747.0,159384.0,186681.0,204913.0,171490.0,140814.0,150504.0,163452.0
Puerto Plata,49831.0,46283.0,50866.0,39350.0,22211.0,23277.0,27293.0,23979.0,16095.0,17601.0,25800.0,42471.0,54759.0,53708.0,53917.0,38463.0,21884.0,25502.0,31598.0,27388.0,19109.0,22349.0,29611.0,50124.0,60961.0,58713.0,62701.0,45421.0,27273.0,31984.0,37632.0,31857.0,18313.0,23965.0,27621.0,46264.0,57039.0,54007.0,58457.0,42933.0,22620.0,24320.0,30933.0,26056.0,18460.0,20981.0,27148.0,46075.0,54422.0,53519.0,56205.0,40348.0,24379.0,28033.0,30665.0,23675.0,14637.0,18042.0,24846.0,45113.0,52139.0,52159.0,24728.0,0.0,0.0,0.0,4778.0,3293.0,3352.0,4628.0,6964.0,15388.0,8209.0,7186.0,11435.0,11136.0,13566.0,15000.0,21027.0,15376.0,11073.0,16731.0,23716.0,35830.0,24401.0,28233.0,33458.0,28717.0,11951.0,24742.0,31078.0,25437.0,15652.0,18551.0,28629.0,39680.0,45421.0,42156.0,44351.0,32872.0,12125.0,20665.0,26275.0,22125.0,15157.0,18752.0,28853.0
Punta Cana,290908.0,284879.0,316094.0,275697.0,243831.0,276615.0,319309.0,261021.0,184168.0,203058.0,240832.0,303704.0,303546.0,297032.0,326892.0,286517.0,264670.0,302653.0,363105.0,290033.0,208405.0,226969.0,259313.0,320230.0,321216.0,313728.0,348299.0,338169.0,290368.0,323533.0,383746.0,309987.0,176135.0,226264.0,268869.0,343174.0,345423.0,336736.0,404868.0,346024.0,315332.0,356531.0,402709.0,319510.0,210516.0,242587.0,286410.0,354705.0,348846.0,352212.0,401518.0,343026.0,312887.0,331503.0,311038.0,258457.0,153841.0,176890.0,237760.0,296457.0,296404.0,302031.0,143531.0,0.0,10.0,126.0,17871.0,17405.0,16029.0,29680.0,45712.0,107683.0,77476.0,69923.0,113904.0,123529.0,151155.0,192417.0,245589.0,218245.0,163000.0,211890.0,276415.0,365108.0,293939.0,316672.0,376988.0,372951.0,337957.0,362732.0,418295.0,358399.0,245238.0,285600.0,339498.0,415158.0,406267.0,397790.0,448774.0,408380.0,369097.0,396764.0,441028.0,370415.0,256281.0,293420.0,367655.0
La Romana,14058.0,12317.0,12111.0,8280.0,5483.0,5576.0,7623.0,7508.0,2875.0,4552.0,7227.0,12653.0,16463.0,13514.0,13029.0,9437.0,3799.0,4863.0,7773.0,6636.0,2780.0,4080.0,4543.0,12448.0,15114.0,14932.0,14607.0,10829.0,3329.0,4020.0,6035.0,5848.0,3393.0,2973.0,5557.0,12113.0,12821.0,12939.0,11520.0,6669.0,3498.0,5652.0,6394.0,5344.0,4127.0,5533.0,8045.0,14183.0,24059.0,20264.0,19586.0,13581.0,8085.0,11205.0,14778.0,14934.0,11308.0,14164.0,19930.0,25080.0,25768.0,23473.0,9951.0,0.0,2.0,6.0,228.0,199.0,181.0,1825.0,4213.0,5761.0,5729.0,5766.0,7921.0,7840.0,4824.0,4173.0,5836.0,9843.0,17896.0,33304.0,33254.0,43274.0,41040.0,33436.0,5134.0,6497.0,2760.0,2826.0,4637.0,2770.0,1664.0,2244.0,4302.0,8910.0,10247.0,9319.0,8451.0,6267.0,2885.0,4601.0,6954.0,5038.0,3386.0,3686.0,5247.0
Cibao,31734.0,35491.0,44418.0,37139.0,40558.0,53782.0,70199.0,52516.0,31444.0,37443.0,36482.0,63407.0,36159.0,39875.0,46413.0,42388.0,42618.0,57267.0,70730.0,53729.0,32320.0,36379.0,37364.0,60799.0,37211.0,40247.0,39897.0,38307.0,41573.0,55933.0,65099.0,52523.0,32772.0,37900.0,39922.0,66697.0,41525.0,45430.0,55999.0,45642.0,48170.0,67241.0,79035.0,64164.0,41402.0,43366.0,46402.0,70330.0,49163.0,51016.0,55046.0,54447.0,54434.0,73586.0,85152.0,67874.0,42368.0,47913.0,49699.0,76321.0,51197.0,53653.0,29405.0,0.0,0.0,423.0,50740.0,39774.0,34758.0,41605.0,44584.0,80648.0,44274.0,45476.0,65197.0,65069.0,75241.0,95392.0,108653.0,83960.0,56068.0,53533.0,53505.0,85735.0,52983.0,59236.0,62037.0,68002.0,67636.0,84100.0,88136.0,74838.0,49192.0,51813.0,54909.0,86497.0,62149.0,59598.0,69126.0,67656.0,70887.0,91525.0,103838.0,85922.0,58447.0,61004.0,64247.0
Guam,118501.0,126080.0,132334.0,96241.0,96873.0,101047.0,115091.0,135498.0,120922.0,112292.0,121752.0,132419.0,129259.0,142332.0,133335.0,105446.0,114353.0,118373.0,122996.0,144758.0,133750.0,122534.0,125748.0,142634.0,136063.0,133553.0,140662.0,122607.0,118853.0,122753.0,132952.0,143981.0,117147.0,113526.0,122377.0,140918.0,134939.0,127185.0,137734.0,117678.0,113995.0,126391.0,131594.0,145817.0,113065.0,121656.0,132849.0,146104.0,147507.0,137244.0,146332.0,121004.0,120411.0,123528.0,136878.0,159856.0,137680.0,134830.0,143987.0,146104.0,157479.0,116746.0,35310.0,1557.0,1502.0,2221.0,1385.0,2048.0,2912.0,2331.0,2562.0,2120.0,4526.0,3478.0,3716.0,3814.0,4352.0,7438.0,12860.0,8675.0,5735.0,6416.0,9615.0,8764.0,9060.0,7096.0,9401.0,11323.0,20008.0,28278.0,41091.0,37835.0,28028.0,39366.0,39852.0,55540.0,56687.0,56253.0,65603.0,55354.0,44347.0,17310.0,52154.0,67842.0,52286.0,54099.0,60862.0
O'ahu,426378.1763899656,420867.8231841592,480747.6381851168,425127.4015507272,470187.2188149148,495296.0925918714,526224.154320545,501655.85483903147,447628.8935407396,458294.1259482006,422650.1311042321,504185.5464991243,456914.772317645,422683.6501604049,461749.5337845989,441734.998610998,468276.8416876447,506191.7530022585,527661.102787296,507099.6312775186,451408.9972162184,470361.8371226753,441234.0536515808,518504.06187306414,477783.8462820524,443818.2208612992,487220.31631080544,471868.1356341838,484613.1306527187,524221.8695111034,575454.7719526426,530443.0763600455,469387.49533407774,478148.02758845617,462786.7414724993,540251.543965062,479066.5844827775,476428.3734910945,528577.3922029939,473833.03268984944,499413.3822281636,550121.2231646592,572363.0544156538,544276.4186007329,474303.0400847049,491797.9158261252,470668.2250516185,551735.9353176383,509831.70651613234,480047.6425363645,547664.7832080051,524053.0861140374,528806.4003174709,576067.1808808913,609169.8805214472,586836.3760551952,485440.6090791961,500560.0150685575,498452.7812813893,579246.6323221046,526991.7506809235,494362.4947301818,243051.48191049416,3601.139619601363,7365.064883673444,13029.468636561274,16448.32220872657,16916.962060960337,11885.15568894956,36009.47075461953,76662.34520526626,113090.0032838086,78875.24098851839,105401.70548165876,206935.75970726385,223078.8570023657,310874.26739507914,394774.5787970836,453617.0308379723,369671.3688708362,244849.72548249995,256929.7715687947,292395.0044585935,389218.7819366692,283816.2213984639,314799.5230178324,406736.2261940017,429072.9540513216,425872.3638440757,443686.7965689375,495383.4314022107,461692.8656089144,400679.8282079471,432483.4835250613,411302.4273416187,508795.7065793411,461443.7276719502,441576.5255204349,505779.819244193,489694.44587520935,473197.4709835814,514949.3187553335,544918.9439948011,520830.5134047621,454613.2358676844,493012.848207939,462659.5517658623
