Popularity,date,Monthly Listeners,artist
84.0,2019-12-04,11066877,SZA
84.0,2019-12-05,11062718,SZA
84.0,2019-12-06,11062227,SZA
84.0,2019-12-07,11164726,SZA
84.0,2019-12-08,11282624,SZA
84.0,2019-12-09,11346191,SZA
84.0,2019-12-10,11402358,SZA
84.0,2019-12-11,11463340,SZA
84.0,2019-12-12,11540351,SZA
84.0,2019-12-13,11540351,SZA
84.0,2019-12-14,11566837,SZA
84.0,2019-12-15,11583907,SZA
84.0,2019-12-16,11602799,SZA
84.0,2019-12-17,11620633,SZA
84.0,2019-12-18,11647539,SZA
84.0,2019-12-19,11659819,SZA
84.0,2019-12-20,11675374,SZA
84.0,2019-12-21,11676541,SZA
84.0,2019-12-22,11672083,SZA
84.0,2019-12-23,11667901,SZA
84.0,2019-12-24,11671983,SZA
84.0,2019-12-25,11674623,SZA
84.0,2019-12-26,11665831,SZA
84.0,2019-12-27,11584372,SZA
84.0,2019-12-28,11557023,SZA
84.0,2019-12-29,11579538,SZA
84.0,2019-12-30,11579538,SZA
84.0,2019-12-31,11595346,SZA
84.0,2020-01-01,11617020,SZA
84.0,2020-01-02,11783142,SZA
84.0,2020-01-03,11860888,SZA
84.0,2020-01-04,11807907,SZA
84.0,2020-01-05,11743305,SZA
84.0,2020-01-06,11699747,SZA
84.0,2020-01-07,11648856,SZA
84.0,2020-01-08,11636359,SZA
84.0,2020-01-09,11636359,SZA
84.0,2020-01-10,11624428,SZA
84.0,2020-01-11,11609326,SZA
84.0,2020-01-12,11606530,SZA
84.0,2020-01-13,11623284,SZA
84.0,2020-01-14,11623284,SZA
84.0,2020-01-15,11624299,SZA
84.0,2020-01-16,11622333,SZA
84.0,2020-01-17,11621881,SZA
84.0,2020-01-18,11626528,SZA
84.0,2020-01-19,11626375,SZA
84.0,2020-01-20,11639230,SZA
84.0,2020-01-21,11639230,SZA
84.0,2020-01-22,11638741,SZA
84.0,2020-01-23,11649156,SZA
84.0,2020-01-24,11707790,SZA
84.0,2020-01-25,11742923,SZA
84.0,2020-01-26,11768283,SZA
84.0,2020-01-27,11784172,SZA
84.0,2020-01-28,11797727,SZA
84.0,2020-01-29,11784758,SZA
84.0,2020-01-30,11631816,SZA
84.0,2020-01-31,11562678,SZA
84.0,2020-02-01,11565648,SZA
84.0,2020-02-02,11572248,SZA
84.0,2020-02-03,11596399,SZA
84.0,2020-02-04,11592555,SZA
84.0,2020-02-05,11597046,SZA
84.0,2020-02-06,11597046,SZA
84.0,2020-02-07,11603258,SZA
84.0,2020-02-08,11605569,SZA
84.0,2020-02-09,11605569,SZA
84.0,2020-02-10,11629407,SZA
84.0,2020-02-11,11638904,SZA
84.0,2020-02-12,11645785,SZA
84.0,2020-02-13,11645785,SZA
84.0,2020-02-14,11645785,SZA
84.0,2020-02-15,11657920,SZA
84.0,2020-02-16,11679688,SZA
84.0,2020-02-17,11699345,SZA
84.0,2020-02-18,11710565,SZA
84.0,2020-02-19,11710925,SZA
84.0,2020-02-20,11727080,SZA
84.0,2020-02-21,11747108,SZA
84.0,2020-02-22,11750305,SZA
84.0,2020-02-23,11750305,SZA
84.0,2020-02-24,11747108,SZA
84.0,2020-02-25,11754782,SZA
84.0,2020-02-26,11754782,SZA
84.0,2020-02-27,11757380,SZA
84.0,2020-02-28,12287937,SZA
84.0,2020-02-29,13203936,SZA
84.0,2020-03-01,13203936,SZA
84.0,2020-03-02,14269963,SZA
84.0,2020-03-03,14269963,SZA
84.0,2020-03-04,15149967,SZA
83.0,2020-03-05,15149967,SZA
83.0,2020-03-06,15907691,SZA
83.0,2020-03-07,15907691,SZA
83.0,2020-03-08,16260034,SZA
83.0,2020-03-09,16566648,SZA
82.0,2020-03-10,16838726,SZA
82.0,2020-03-11,17085364,SZA
82.0,2020-03-12,17547737,SZA
82.0,2020-03-13,17547737,SZA
82.0,2020-03-14,17924902,SZA
82.0,2020-03-15,17924902,SZA
82.0,2020-03-16,18325171,SZA
82.0,2020-03-17,18325171,SZA
81.0,2020-03-18,18494671,SZA
81.0,2020-03-19,18691454,SZA
81.0,2020-03-20,19053634,SZA
81.0,2020-03-21,19053634,SZA
81.0,2020-03-22,19193442,SZA
81.0,2020-03-23,19328655,SZA
81.0,2020-03-24,19457931,SZA
81.0,2020-03-25,19589953,SZA
81.0,2020-03-26,19807803,SZA
81.0,2020-03-27,19807803,SZA
81.0,2020-03-28,19770317,SZA
81.0,2020-03-29,19046026,SZA
81.0,2020-03-30,19046026,SZA
81.0,2020-03-31,18814272,SZA
81.0,2020-04-01,18602593,SZA
81.0,2020-04-02,18373966,SZA
81.0,2020-04-03,18151166,SZA
81.0,2020-04-04,17931199,SZA
81.0,2020-04-05,17548732,SZA
81.0,2020-04-06,17548732,SZA
81.0,2020-04-07,17415705,SZA
81.0,2020-04-08,17281879,SZA
82.0,2020-04-09,17013086,SZA
82.0,2020-04-10,17013086,SZA
82.0,2020-04-11,16900026,SZA
82.0,2020-04-12,16818883,SZA
82.0,2020-04-13,16686832,SZA
82.0,2020-04-14,16619085,SZA
82.0,2020-04-15,16619085,SZA
82.0,2020-04-16,16536253,SZA
82.0,2020-04-17,16380170,SZA
82.0,2020-04-18,16344056,SZA
82.0,2020-04-19,16344056,SZA
82.0,2020-04-20,16337974,SZA
82.0,2020-04-21,16338836,SZA
82.0,2020-04-22,16336285,SZA
82.0,2020-04-23,16343247,SZA
82.0,2020-04-24,16403558,SZA
82.0,2020-04-25,16618562,SZA
83.0,2020-04-26,16737988,SZA
83.0,2020-04-27,16737988,SZA
83.0,2020-04-28,16825410,SZA
83.0,2020-04-29,16898087,SZA
83.0,2020-04-30,16964934,SZA
83.0,2020-05-01,17022156,SZA
83.0,2020-05-02,17179670,SZA
83.0,2020-05-03,17219859,SZA
83.0,2020-05-04,17243517,SZA
83.0,2020-05-05,17253593,SZA
83.0,2020-05-06,17253593,SZA
83.0,2020-05-07,17250161,SZA
82.0,2020-05-08,17245525,SZA
82.0,2020-05-09,17245525,SZA
82.0,2020-05-10,17200103,SZA
82.0,2020-05-11,17200103,SZA
82.0,2020-05-12,17123721,SZA
82.0,2020-05-13,17079626,SZA
82.0,2020-05-14,17028587,SZA
82.0,2020-05-15,17028587,SZA
82.0,2020-05-16,16982011,SZA
82.0,2020-05-17,16965137,SZA
82.0,2020-05-18,16943135,SZA
82.0,2020-05-19,16943135,SZA
