area_fips,countyname,stateabr,total_emp,private_emp,bev_emp,year,month
1073,Jefferson County AL,AL,333087,276476,930,2013,1
1073,Jefferson County AL,AL,334582,278063,943,2013,2
1073,Jefferson County AL,AL,336073,279509,941,2013,3
1073,Jefferson County AL,AL,337649,281200,942,2013,4
1073,Jefferson County AL,AL,338823,282404,941,2013,5
1073,Jefferson County AL,AL,340093,283783,955,2013,6
1073,Jefferson County AL,AL,338103,283100,956,2013,7
1073,Jefferson County AL,AL,338288,283491,960,2013,8
1073,Jefferson County AL,AL,337829,282130,952,2013,9
1073,Jefferson County AL,AL,337699,281470,952,2013,10
1073,Jefferson County AL,AL,340476,284075,952,2013,11
1073,Jefferson County AL,AL,341920,285429,935,2013,12
1073,Jefferson County AL,AL,334574,278351,942,2014,1
1073,Jefferson County AL,AL,334604,278385,957,2014,2
1073,Jefferson County AL,AL,337096,280666,974,2014,3
1073,Jefferson County AL,AL,339103,282465,969,2014,4
1073,Jefferson County AL,AL,340141,283239,992,2014,5
1073,Jefferson County AL,AL,341032,284228,1010,2014,6
1073,Jefferson County AL,AL,338846,282971,1027,2014,7
1073,Jefferson County AL,AL,339480,283618,998,2014,8
1073,Jefferson County AL,AL,339193,282634,1003,2014,9
1073,Jefferson County AL,AL,339760,283302,959,2014,10
1073,Jefferson County AL,AL,342016,285404,950,2014,11
1073,Jefferson County AL,AL,342461,285759,911,2014,12
1073,Jefferson County AL,AL,333520,277122,1053,2015,1
1073,Jefferson County AL,AL,334373,277899,1056,2015,2
1073,Jefferson County AL,AL,335008,278558,1056,2015,3
1073,Jefferson County AL,AL,336647,280050,1052,2015,4
1073,Jefferson County AL,AL,338718,282027,1057,2015,5
1073,Jefferson County AL,AL,339551,282748,1076,2015,6
1073,Jefferson County AL,AL,338770,282936,1098,2015,7
1073,Jefferson County AL,AL,339122,282935,1100,2015,8
1073,Jefferson County AL,AL,338793,281916,1102,2015,9
1073,Jefferson County AL,AL,339988,283117,1106,2015,10
1073,Jefferson County AL,AL,341296,284240,1114,2015,11
1073,Jefferson County AL,AL,342062,284725,1113,2015,12
1073,Jefferson County AL,AL,335800,278804,1147,2016,1
1073,Jefferson County AL,AL,336942,279781,1165,2016,2
1073,Jefferson County AL,AL,337800,280655,1214,2016,3
1073,Jefferson County AL,AL,339785,282371,1223,2016,4
1073,Jefferson County AL,AL,341099,283628,1259,2016,5
1073,Jefferson County AL,AL,341137,283563,1271,2016,6
1073,Jefferson County AL,AL,341473,284341,1259,2016,7
1073,Jefferson County AL,AL,341003,283790,1261,2016,8
1073,Jefferson County AL,AL,341097,283310,1284,2016,9
1073,Jefferson County AL,AL,341552,283883,1274,2016,10
1073,Jefferson County AL,AL,343798,285828,1286,2016,11
1073,Jefferson County AL,AL,344657,286392,1326,2016,12
1073,Jefferson County AL,AL,338052,280474,1320,2017,1
1073,Jefferson County AL,AL,339904,282134,1326,2017,2
1073,Jefferson County AL,AL,341302,283534,1345,2017,3
1073,Jefferson County AL,AL,342135,284359,1395,2017,4
1073,Jefferson County AL,AL,344330,286426,1406,2017,5
1073,Jefferson County AL,AL,345460,287234,1443,2017,6
1073,Jefferson County AL,AL,345095,287681,1435,2017,7
1073,Jefferson County AL,AL,345334,287977,1434,2017,8
1073,Jefferson County AL,AL,344936,286956,1424,2017,9
1073,Jefferson County AL,AL,346331,288221,1450,2017,10
1073,Jefferson County AL,AL,349725,291334,1454,2017,11
1073,Jefferson County AL,AL,350215,291423,1433,2017,12
1073,Jefferson County AL,AL,344547,286614,1386,2018,1
1073,Jefferson County AL,AL,345826,287999,1378,2018,2
1073,Jefferson County AL,AL,347310,289268,1390,2018,3
1073,Jefferson County AL,AL,348393,290293,1397,2018,4
1073,Jefferson County AL,AL,349356,291190,1402,2018,5
1073,Jefferson County AL,AL,351375,292700,1455,2018,6
1073,Jefferson County AL,AL,349863,292055,1453,2018,7
1073,Jefferson County AL,AL,350207,292295,1472,2018,8
1073,Jefferson County AL,AL,349697,291142,1465,2018,9
1073,Jefferson County AL,AL,351890,293138,1603,2018,10
1073,Jefferson County AL,AL,355108,296126,1621,2018,11
1073,Jefferson County AL,AL,355886,296627,1607,2018,12
1073,Jefferson County AL,AL,349352,290635,1547,2019,1
1073,Jefferson County AL,AL,350779,291958,1551,2019,2
1073,Jefferson County AL,AL,351699,292653,1538,2019,3
1073,Jefferson County AL,AL,353053,294022,1562,2019,4
1073,Jefferson County AL,AL,354138,295207,1566,2019,5
1073,Jefferson County AL,AL,355812,296381,1584,2019,6
1073,Jefferson County AL,AL,355187,296484,1557,2019,7
1073,Jefferson County AL,AL,355655,296929,1537,2019,8
1073,Jefferson County AL,AL,354030,294588,1577,2019,9
1073,Jefferson County AL,AL,355389,295822,1587,2019,10
1073,Jefferson County AL,AL,357909,297898,1605,2019,11
1073,Jefferson County AL,AL,358417,298372,1620,2019,12
1117,Shelby County AL,AL,74794,66291,22,2013,1
1117,Shelby County AL,AL,75284,66811,22,2013,2
1117,Shelby County AL,AL,75782,67247,21,2013,3
1117,Shelby County AL,AL,76404,67954,21,2013,4
1117,Shelby County AL,AL,76734,68637,21,2013,5
1117,Shelby County AL,AL,77294,69191,21,2013,6
1117,Shelby County AL,AL,76349,68760,23,2013,7
1117,Shelby County AL,AL,76502,68920,22,2013,8
1117,Shelby County AL,AL,77691,69744,21,2013,9
1117,Shelby County AL,AL,78213,70081,17,2013,10
1117,Shelby County AL,AL,78670,70437,17,2013,11
1117,Shelby County AL,AL,78197,69953,20,2013,12
1117,Shelby County AL,AL,76800,68645,20,2014,1
1117,Shelby County AL,AL,76872,68670,19,2014,2
1117,Shelby County AL,AL,77554,69315,19,2014,3
1117,Shelby County AL,AL,77942,69726,20,2014,4
1117,Shelby County AL,AL,78233,69931,22,2014,5
1117,Shelby County AL,AL,79050,70710,22,2014,6
1117,Shelby County AL,AL,78424,70807,26,2014,7
1117,Shelby County AL,AL,78946,71224,25,2014,8
1117,Shelby County AL,AL,80034,71773,26,2014,9
1117,Shelby County AL,AL,79490,71212,22,2014,10
1117,Shelby County AL,AL,80135,71787,19,2014,11
1117,Shelby County AL,AL,80666,72297,20,2014,12
1117,Shelby County AL,AL,81019,72619,18,2015,1
1117,Shelby County AL,AL,81754,73347,17,2015,2
