notes,state,statecode,year,yearcode,month,monthcode,births,time
,Alabama,1,2007,2007,January,1,5315,1
,Alabama,1,2007,2007,February,2,4936,2
,Alabama,1,2007,2007,March,3,5343,3
,Alabama,1,2007,2007,April,4,5108,4
,Alabama,1,2007,2007,May,5,5324,5
,Alabama,1,2007,2007,June,6,5059,6
,Alabama,1,2007,2007,July,7,5680,7
,Alabama,1,2007,2007,August,8,5912,8
,Alabama,1,2007,2007,September,9,5558,9
,Alabama,1,2007,2007,October,10,5630,10
,Alabama,1,2007,2007,November,11,5543,11
,Alabama,1,2007,2007,December,12,5396,12
,Alabama,1,2008,2008,January,1,5559,13
,Alabama,1,2008,2008,February,2,5150,14
,Alabama,1,2008,2008,March,3,5224,15
,Alabama,1,2008,2008,April,4,5297,16
,Alabama,1,2008,2008,May,5,5090,17
,Alabama,1,2008,2008,June,6,5186,18
,Alabama,1,2008,2008,July,7,5574,19
,Alabama,1,2008,2008,August,8,5910,20
,Alabama,1,2008,2008,September,9,5532,21
,Alabama,1,2008,2008,October,10,5482,22
,Alabama,1,2008,2008,November,11,4874,23
,Alabama,1,2008,2008,December,12,5668,24
,Alabama,1,2009,2009,January,1,5084,25
,Alabama,1,2009,2009,February,2,4745,26
,Alabama,1,2009,2009,March,3,5239,27
,Alabama,1,2009,2009,April,4,5051,28
,Alabama,1,2009,2009,May,5,4993,29
,Alabama,1,2009,2009,June,6,5229,30
,Alabama,1,2009,2009,July,7,5635,31
,Alabama,1,2009,2009,August,8,5483,32
,Alabama,1,2009,2009,September,9,5486,33
,Alabama,1,2009,2009,October,10,5215,34
,Alabama,1,2009,2009,November,11,4968,35
,Alabama,1,2009,2009,December,12,5347,36
,Alabama,1,2010,2010,January,1,4917,37
,Alabama,1,2010,2010,February,2,4617,38
,Alabama,1,2010,2010,March,3,5062,39
,Alabama,1,2010,2010,April,4,4662,40
,Alabama,1,2010,2010,May,5,4716,41
,Alabama,1,2010,2010,June,6,4841,42
,Alabama,1,2010,2010,July,7,5253,43
,Alabama,1,2010,2010,August,8,5282,44
,Alabama,1,2010,2010,September,9,5492,45
,Alabama,1,2010,2010,October,10,5034,46
,Alabama,1,2010,2010,November,11,5102,47
,Alabama,1,2010,2010,December,12,5072,48
,Alabama,1,2011,2011,January,1,4949,49
,Alabama,1,2011,2011,February,2,4503,50
,Alabama,1,2011,2011,March,3,4887,51
,Alabama,1,2011,2011,April,4,4383,52
,Alabama,1,2011,2011,May,5,4635,53
,Alabama,1,2011,2011,June,6,5118,54
,Alabama,1,2011,2011,July,7,5228,55
,Alabama,1,2011,2011,August,8,5612,56
,Alabama,1,2011,2011,September,9,5127,57
,Alabama,1,2011,2011,October,10,4862,58
,Alabama,1,2011,2011,November,11,4909,59
,Alabama,1,2011,2011,December,12,5141,60
,Alabama,1,2012,2012,January,1,4810,61
,Alabama,1,2012,2012,February,2,4625,62
,Alabama,1,2012,2012,March,3,4599,63
,Alabama,1,2012,2012,April,4,4486,64
,Alabama,1,2012,2012,May,5,4783,65
,Alabama,1,2012,2012,June,6,4904,66
,Alabama,1,2012,2012,July,7,5141,67
,Alabama,1,2012,2012,August,8,5400,68
,Alabama,1,2012,2012,September,9,4923,69
,Alabama,1,2012,2012,October,10,5081,70
,Alabama,1,2012,2012,November,11,4930,71
,Alabama,1,2012,2012,December,12,4766,72
,Alabama,1,2013,2013,January,1,4934,73
,Alabama,1,2013,2013,February,2,4307,74
,Alabama,1,2013,2013,March,3,4581,75
,Alabama,1,2013,2013,April,4,4572,76
,Alabama,1,2013,2013,May,5,4761,77
,Alabama,1,2013,2013,June,6,4545,78
,Alabama,1,2013,2013,July,7,5282,79
